Student_ID,Age,Gender,GPA,Attendance,Assignment_Completion,Exam_Performance,Engagement_Score,Participation_Score,Behavioral_Score,Previous_Academic_Performance,Course_Satisfaction,Failed_Subjects,Assignments_Missed,LMS_Activity,Churn
STU1001,22,Male,7.89,70.7,72.2,71.8,3,4,5,7.3,3,0,4,4,0
STU1002,24,Male,6.75,69.0,72.0,63.2,3,5,3,5.71,4,0,2,3,0
STU1003,21,Female,8.17,81.7,85.9,85.4,4,3,5,9.29,3,0,2,4,0
STU1004,20,Male,9.74,91.4,94.0,98.9,5,5,5,8.46,3,0,1,4,0
STU1005,25,Female,6.58,69.6,60.9,65.4,3,3,4,6.98,2,0,3,3,0
STU1006,25,Male,6.58,74.2,67.4,66.4,4,3,5,4.86,4,0,2,3,0
STU1007,19,Male,9.84,100.0,98.1,100.0,4,5,3,10.0,3,0,1,5,0
STU1008,21,Male,8.38,87.6,87.5,78.0,4,4,3,9.16,5,0,2,4,0
STU1009,23,Female,6.15,69.3,72.0,65.4,3,3,2,7.03,1,1,3,4,0
STU1010,19,Female,7.98,82.2,100.0,77.0,4,4,5,7.85,5,0,0,4,0
STU1011,19,Male,6.17,52.1,57.7,60.2,4,3,5,7.44,4,1,4,3,1
STU1012,18,Male,6.16,67.1,73.8,69.4,2,3,4,8.01,2,1,4,3,0
STU1013,22,Female,7.44,78.7,82.6,79.2,2,4,4,7.18,2,0,3,5,0
STU1014,21,Male,3.56,65.0,69.2,43.4,3,3,3,3.2,3,2,5,4,1
STU1015,19,Male,3.9,46.6,47.7,50.0,2,2,5,4.02,2,4,6,3,1
STU1016,18,Female,5.99,68.3,72.6,60.3,2,4,4,5.61,3,1,3,3,0
STU1017,23,Female,5.18,58.8,55.3,57.4,4,3,4,4.68,4,0,5,3,1
STU1018,20,Male,7.57,70.0,68.1,72.5,4,3,5,7.14,4,0,4,4,0
STU1019,24,Female,5.37,69.8,66.4,56.7,4,4,4,6.74,4,0,4,3,0
STU1020,24,Female,4.46,58.9,60.6,45.1,2,3,4,5.08,2,4,5,4,1
STU1021,21,Male,9.64,100.0,100.0,94.4,5,4,3,9.26,5,0,2,5,0
STU1022,19,Female,6.59,63.7,52.9,69.8,5,4,4,4.63,3,0,5,3,0
STU1023,24,Female,7.12,86.7,87.8,64.8,3,4,5,5.88,2,0,3,5,0
STU1024,22,Male,4.44,41.5,35.6,60.5,3,2,5,4.84,4,2,8,2,1
STU1025,24,Male,6.02,70.9,67.4,53.3,4,3,5,4.32,4,1,3,3,0
STU1026,24,Male,7.2,93.7,96.2,62.7,5,3,3,7.43,4,0,2,5,0
STU1027,24,Female,4.93,49.0,52.0,58.5,2,1,3,4.08,2,4,6,4,1
STU1028,25,Male,7.68,75.7,67.9,81.2,4,4,4,7.75,4,0,3,3,0
STU1029,18,Female,5.92,66.1,61.9,63.8,4,3,4,5.97,3,0,6,3,1
STU1030,19,Female,6.47,66.0,70.2,68.9,2,3,5,6.57,2,1,4,3,0
STU1031,22,Male,5.92,52.9,50.6,59.4,2,3,2,5.6,3,1,7,2,1
STU1032,19,Female,10.0,100.0,96.3,90.7,3,4,5,9.66,2,0,0,4,0
STU1033,25,Male,6.98,65.8,66.2,69.7,3,3,4,6.4,3,0,3,3,0
STU1034,21,Female,5.1,62.1,58.9,47.2,3,2,4,5.49,2,1,2,2,0
STU1035,21,Female,8.48,79.7,90.6,89.8,5,4,3,9.12,5,0,2,5,0
STU1036,21,Male,4.8,68.2,71.8,48.1,2,3,2,3.82,3,2,3,4,1
STU1037,23,Male,7.38,71.5,58.6,67.1,5,3,5,7.34,5,0,4,4,0
STU1038,24,Male,3.47,41.9,46.7,34.7,1,2,4,3.63,2,3,5,2,1
STU1039,23,Male,4.61,60.7,57.6,50.3,1,4,3,4.76,3,2,3,3,1
STU1040,18,Male,7.35,67.6,72.6,68.7,4,3,3,7.48,5,0,4,4,0
STU1041,21,Male,8.33,87.6,79.7,75.9,4,5,4,8.01,2,0,2,4,0
STU1042,25,Other,7.31,87.6,83.8,74.0,4,4,5,7.53,3,0,5,5,0
STU1043,22,Male,6.79,59.9,63.9,69.2,2,3,4,7.28,2,0,3,3,1
STU1044,19,Male,6.46,71.4,75.9,60.9,3,5,2,6.57,3,0,2,4,0
STU1045,24,Female,4.34,54.0,48.7,41.6,1,1,4,4.74,2,3,5,3,1
STU1046,20,Male,5.7,69.7,67.2,59.1,3,3,4,6.49,3,1,2,4,0
STU1047,22,Female,6.17,57.5,56.0,51.6,3,3,1,4.69,3,1,5,3,1
STU1048,24,Female,8.9,80.1,74.2,77.0,4,4,4,9.65,3,0,2,5,0
STU1049,23,Female,7.62,83.9,91.9,70.1,3,4,4,7.89,3,0,2,4,0
STU1050,23,Male,3.83,49.9,54.8,38.7,1,2,5,2.94,1,2,4,2,1
STU1051,22,Male,7.58,81.4,71.6,76.9,4,4,5,8.22,3,0,4,3,0
STU1052,23,Male,6.31,71.4,76.2,73.4,4,3,5,5.99,3,0,3,3,0
STU1053,21,Female,5.78,58.7,72.6,64.2,2,4,4,5.57,2,1,3,3,1
STU1054,18,Male,8.1,85.7,89.0,78.4,4,4,3,7.69,5,0,3,5,0
STU1055,19,Male,8.86,92.7,79.7,86.4,4,5,5,9.1,3,0,3,5,0
STU1056,18,Other,8.68,83.1,77.7,77.8,4,4,4,8.05,5,0,5,4,0
STU1057,24,Male,5.49,76.6,82.7,55.4,3,3,4,6.21,3,0,1,4,0
STU1058,19,Male,6.44,73.5,68.2,62.2,2,3,4,6.33,3,0,3,4,0
STU1059,25,Male,7.6,70.1,72.2,77.2,3,4,4,7.31,2,0,4,3,0
STU1060,19,Other,8.76,94.7,95.1,79.8,3,4,4,9.36,4,0,0,5,0
STU1061,18,Male,6.14,59.4,54.9,65.1,5,3,3,5.88,4,1,6,3,1
STU1062,22,Female,6.67,78.0,75.9,77.1,3,5,3,7.43,3,0,3,3,0
STU1063,19,Female,5.01,66.9,47.4,50.3,2,4,4,5.79,4,1,4,3,0
STU1064,25,Male,4.85,49.7,46.1,52.4,3,2,3,3.78,3,3,4,3,1
STU1065,25,Female,8.46,94.6,88.9,87.7,4,5,3,9.35,5,0,0,4,0
STU1066,25,Male,9.44,98.5,86.2,89.0,5,5,4,8.27,4,0,0,4,0
STU1067,18,Male,6.87,80.0,87.8,69.8,4,3,4,7.81,4,0,1,5,0
STU1068,19,Female,8.81,100.0,86.4,86.1,5,4,5,10.0,5,0,2,5,0
STU1069,20,Female,7.65,78.1,73.7,76.1,3,3,1,8.35,3,0,2,4,0
STU1070,22,Female,5.84,58.6,60.6,53.3,2,3,5,4.11,4,1,5,4,1
STU1071,21,Female,7.65,72.9,80.6,75.6,4,4,5,8.5,4,0,4,4,0
STU1072,19,Male,9.77,91.5,79.2,98.4,3,5,2,10.0,3,0,3,3,0
STU1073,25,Male,6.94,73.4,79.4,79.0,2,4,4,6.7,3,0,2,3,0
STU1074,20,Male,9.82,100.0,95.1,100.0,5,5,4,9.79,5,0,0,4,0
STU1075,21,Male,2.28,36.6,35.2,41.0,2,2,3,2.0,3,2,6,2,1
STU1076,21,Male,8.48,93.7,92.4,77.6,4,3,3,8.73,3,0,1,5,0
STU1077,24,Male,7.16,76.0,75.8,77.0,4,4,3,8.18,3,0,2,3,0
STU1078,19,Male,6.46,81.5,75.7,65.7,3,5,5,7.02,3,0,2,4,0
STU1079,18,Male,7.17,73.8,73.1,86.3,5,3,5,9.68,4,0,4,4,0
STU1080,19,Female,3.42,65.8,63.6,30.8,3,4,5,3.45,4,3,2,4,1
STU1081,20,Female,6.6,76.1,75.4,59.8,3,4,5,5.3,3,0,4,5,0
STU1082,21,Male,7.64,73.1,76.1,71.1,3,3,3,7.78,2,0,3,3,0
STU1083,19,Female,9.66,88.5,94.7,79.0,4,5,3,7.73,4,0,1,4,0
STU1084,18,Female,6.07,70.5,62.5,57.2,3,5,4,5.64,4,1,3,4,0
STU1085,24,Male,5.54,60.3,74.1,50.7,2,3,3,6.84,3,0,2,4,0
STU1086,19,Female,6.1,72.6,60.0,62.2,2,4,5,6.36,3,1,2,4,0
STU1087,22,Female,8.65,92.3,87.5,87.0,4,4,4,8.79,4,0,3,5,0
STU1088,24,Female,7.59,78.9,80.6,88.0,3,3,4,9.05,3,0,3,4,0
STU1089,18,Male,6.05,59.7,62.4,67.3,4,4,5,5.83,4,0,2,3,1
STU1090,20,Female,7.92,70.2,65.9,73.8,5,3,4,8.93,3,0,3,4,0
STU1091,21,Male,7.17,72.4,70.3,64.7,4,4,4,7.27,4,0,3,4,0
STU1092,19,Female,8.74,96.1,88.7,88.9,5,4,5,9.04,5,0,1,5,0
STU1093,18,Female,5.74,65.5,62.1,48.6,3,4,3,4.77,3,1,2,4,0
STU1094,24,Female,6.41,59.5,65.7,76.8,3,3,5,6.02,2,1,3,4,1
STU1095,22,Female,6.29,69.9,71.6,71.1,4,4,5,5.17,3,0,5,4,0
STU1096,18,Female,4.37,55.2,52.8,41.9,3,2,4,4.29,4,4,4,3,1
STU1097,23,Male,7.53,71.9,76.5,62.3,3,3,4,7.84,3,0,2,4,0
STU1098,25,Male,7.47,79.7,79.6,83.2,4,3,3,6.58,4,0,1,4,0
STU1099,22,Female,7.01,75.1,78.7,68.7,3,3,5,8.65,3,0,3,5,0
STU1100,24,Male,6.58,61.8,66.3,74.2,2,3,4,6.8,2,0,3,3,0
