Student_ID,Age,Gender,GPA,Attendance,Assignment_Completion,Exam_Performance,Engagement_Score,Participation_Score,Behavioral_Score,Previous_Academic_Performance,Course_Satisfaction,Failed_Subjects,Assignments_Missed,LMS_Activity,Churn
STU0001,24,Male,2.23,90.8,76.8,50.2,4.5,5.8,9.1,65.8,4.1,3,2,59.0,1
STU0002,21,Male,3.88,76.7,60.8,95.0,7.1,2.0,9.2,48.4,5.0,3,0,59.7,1
STU0003,22,Female,3.26,60.3,50.6,81.8,3.3,6.5,3.8,63.7,7.1,2,7,42.1,1
STU0004,24,Male,2.67,60.6,62.1,90.6,4.1,2.1,7.2,72.8,5.6,0,6,50.3,1
STU0005,20,Male,2.28,85.9,98.8,93.3,9.3,4.0,3.4,53.9,8.8,1,4,96.9,0
STU0006,25,Female,3.59,74.4,90.1,76.4,3.6,2.3,2.7,81.2,8.8,0,6,44.0,1
STU0007,22,Female,3.24,64.0,98.0,73.5,5.2,7.2,2.7,99.9,1.1,1,3,33.2,1
STU0008,22,Female,3.07,77.1,74.4,68.7,9.0,2.9,4.1,69.8,8.0,3,8,31.9,1
STU0009,24,Female,3.79,57.9,55.5,62.4,7.4,4.5,4.9,64.5,5.1,0,1,51.2,0
STU0010,19,Male,3.58,81.2,77.4,68.9,1.6,9.1,8.5,67.0,9.9,3,8,78.4,1
STU0011,20,Female,2.3,67.1,72.7,87.6,2.3,2.8,2.1,51.3,5.3,4,8,28.5,1
STU0012,24,Other,2.62,90.9,92.2,78.1,1.1,5.6,7.6,93.6,9.9,3,4,73.8,1
STU0013,20,Male,2.5,69.0,54.9,94.1,6.7,4.8,5.8,67.8,7.8,3,0,11.9,0
STU0014,20,Female,3.49,75.5,74.4,69.4,5.0,1.2,3.6,66.3,3.2,1,6,47.7,1
STU0015,25,Female,2.07,55.5,57.5,78.4,2.2,8.1,5.4,81.3,5.8,4,3,79.8,1
STU0016,22,Female,3.14,58.3,66.2,79.7,9.6,1.6,3.7,69.3,9.9,3,8,40.5,1
STU0017,21,Female,3.52,72.7,86.9,77.5,5.8,5.3,6.4,80.7,8.7,3,5,60.7,0
STU0018,25,Female,3.75,76.6,73.8,83.6,3.2,6.0,4.9,48.4,1.9,4,2,28.4,1
STU0019,25,Male,2.68,82.0,68.8,58.1,5.5,6.7,2.5,89.8,7.4,4,5,76.8,1
