Student_ID,Age,Gender,GPA,Attendance,Assignment_Completion,Exam_Performance,Engagement_Score,Participation_Score,Behavioral_Score,Previous_Academic_Performance,Course_Satisfaction,Failed_Subjects,Assignments_Missed,LMS_Activity,Churn
STU26001,25,Female,6.71,79.8,83.2,71.5,3,3,4,6.26,4,0,2,3,1
STU26002,25,Male,6.6,70.3,67.7,66.7,4,5,4,6.38,4,0,3,3,1
STU26003,20,Male,6.82,90.5,88.0,63.9,4,4,4,6.76,5,0,1,5,0
STU26004,19,Female,5.53,64.2,72.7,59.0,3,3,4,5.56,2,0,3,3,1
STU26005,20,Male,3.91,23.5,25.7,39.9,2,2,1,4.38,1,3,7,1,1
STU26006,25,Female,5.95,71.2,83.3,63.2,3,3,4,7.11,4,0,2,1,0
STU26007,24,Non-Binary,4.92,48.9,44.9,51.9,3,3,2,3.9,2,1,6,2,0
STU26008,19,Female,7.34,74.6,89.2,69.3,4,3,4,7.08,3,0,1,4,0
STU26009,18,Female,6.43,81.2,75.5,64.7,3,4,4,6.27,3,0,2,4,1
STU26010,23,Male,9.37,97.0,100.0,91.5,5,5,5,10.0,4,0,0,5,0
STU26011,25,Female,7.83,67.4,77.8,79.5,4,3,4,8.34,2,0,2,4,0
STU26012,22,Female,6.92,92.6,82.9,64.3,4,4,4,7.21,3,0,2,4,0
STU26013,19,Male,8.79,74.2,75.7,93.5,5,3,3,8.48,5,0,2,5,0
STU26014,18,Male,9.17,87.3,69.0,91.7,5,5,4,8.63,4,0,3,4,0
STU26015,24,Male,6.65,86.9,81.3,68.0,4,5,3,7.05,4,0,2,5,0
STU26016,20,Male,5.33,72.7,79.3,50.9,3,4,4,5.69,3,0,2,4,1
STU26017,22,Female,7.17,73.6,82.7,75.0,4,5,4,7.38,2,0,2,4,1
STU26018,19,Female,5.42,61.7,59.4,58.4,3,2,3,4.89,3,0,4,3,0
STU26019,23,Female,7.7,82.9,74.3,72.7,4,4,4,7.26,3,0,3,4,1
STU26020,18,Male,2.0,29.7,33.2,30.0,1,1,1,1.57,3,3,7,1,1
STU26021,19,Female,8.47,97.6,100.0,96.1,5,4,5,8.56,2,0,0,4,0
STU26022,20,Male,10.0,95.4,83.0,98.5,5,4,4,9.74,3,0,2,5,0
STU26023,18,Male,7.45,80.0,85.9,67.1,4,3,5,6.75,3,0,1,4,1
STU26024,22,Female,7.17,81.7,89.2,80.5,4,5,5,7.83,4,0,1,4,1
STU26025,25,Female,5.66,73.9,72.0,66.8,3,4,4,5.5,2,0,3,3,1
STU26026,20,Female,7.33,83.3,88.8,70.9,4,4,4,6.9,3,0,1,5,0
STU26027,25,Female,8.9,96.8,87.5,88.7,5,5,4,8.86,4,0,1,5,0
STU26028,18,Male,6.37,69.1,71.7,69.4,3,3,4,5.75,3,0,3,4,0
STU26029,24,Male,7.82,72.2,60.8,64.9,4,3,4,8.45,5,0,4,3,0
STU26030,20,Female,7.88,84.9,81.3,75.5,4,4,4,6.97,5,0,2,4,0
STU26031,24,Male,6.25,40.4,35.9,65.4,3,2,2,5.7,3,0,6,2,1
STU26032,23,Female,6.55,88.1,87.7,62.0,4,5,5,6.59,4,0,1,5,0
STU26033,21,Male,3.23,27.3,32.5,35.7,1,2,2,3.24,4,1,7,1,1
STU26034,21,Female,8.35,86.4,92.8,88.2,5,4,5,7.73,4,0,1,5,0
STU26035,20,Male,5.89,75.4,73.7,68.1,3,4,4,6.35,2,0,3,4,1
STU26036,25,Female,7.46,77.2,72.0,72.2,4,3,4,7.6,4,0,3,5,0
STU26037,18,Male,8.43,73.1,70.1,88.6,4,4,3,7.48,4,0,3,3,1
STU26038,24,Male,5.68,36.2,37.9,50.6,3,2,2,5.92,4,0,6,2,1
STU26039,22,Male,2.0,45.2,53.3,35.8,1,2,3,1.26,4,4,5,3,1
STU26040,18,Male,7.11,74.2,91.6,67.3,4,3,5,6.99,5,0,1,5,0
STU26041,25,Male,6.86,76.4,70.8,67.7,3,3,3,6.11,2,0,3,3,1
STU26042,18,Female,9.19,86.9,92.0,91.3,5,4,5,9.47,3,0,1,4,0
STU26043,21,Female,4.12,29.1,22.7,47.5,2,1,1,3.92,4,1,8,2,1
STU26044,23,Male,4.0,45.8,62.6,38.6,2,1,3,4.34,3,2,4,3,1
STU26045,18,Male,3.64,42.4,44.4,36.9,2,2,2,3.06,3,1,6,1,1
STU26046,19,Female,8.76,77.0,76.0,90.0,5,4,4,8.01,1,0,2,5,0
STU26047,23,Male,7.16,65.8,67.0,76.4,4,4,3,6.09,3,0,3,3,0
STU26048,20,Female,4.98,62.7,47.3,54.6,3,4,2,5.81,4,1,5,3,1
STU26049,19,Female,4.9,62.5,61.1,48.5,3,3,4,4.44,4,3,4,3,1
STU26050,25,Female,5.54,55.4,67.5,64.3,2,4,4,5.98,2,0,3,4,0
STU26051,23,Non-Binary,7.37,93.0,91.2,80.0,4,5,5,7.14,1,0,1,5,1
STU26052,18,Male,6.51,76.6,88.1,64.5,4,5,4,5.89,4,0,1,3,0
STU26053,24,Female,7.7,66.8,76.1,73.1,4,4,3,8.66,3,0,2,2,0
STU26054,21,Female,5.94,63.2,69.1,62.3,3,3,4,5.87,2,0,3,4,1
STU26055,22,Female,7.97,72.9,77.6,72.6,4,3,4,8.7,2,0,2,3,0
STU26056,23,Female,8.94,90.1,82.2,85.3,5,5,4,8.91,2,0,2,5,0
STU26057,22,Male,7.43,75.1,84.1,74.5,4,4,3,7.51,5,0,2,5,0
STU26058,24,Male,6.09,61.4,55.4,66.8,3,4,3,6.24,1,0,4,3,1
STU26059,19,Male,6.39,61.7,75.7,65.9,3,3,4,6.43,3,0,2,3,1
STU26060,20,Male,5.06,59.9,64.5,53.8,3,2,3,5.06,3,0,4,4,1
STU26061,23,Female,8.81,85.8,88.1,84.9,5,5,4,9.03,4,0,1,4,0
STU26062,18,Female,5.6,60.2,58.7,54.2,3,2,3,5.4,2,0,4,2,0
STU26063,24,Male,5.63,71.7,52.2,52.8,3,4,4,5.57,2,0,5,3,1
STU26064,22,Male,4.25,26.3,26.9,43.4,2,1,1,4.41,2,1,7,2,1
STU26065,22,Male,7.48,71.3,82.7,72.0,4,4,3,7.68,5,0,2,3,0
STU26066,22,Female,7.93,82.0,91.4,79.7,4,2,5,8.47,5,0,1,3,0
STU26067,24,Female,3.63,35.3,39.9,40.4,2,2,1,3.93,4,3,6,1,0
STU26068,22,Male,5.2,55.1,75.7,45.4,3,3,4,4.91,3,0,2,2,1
STU26069,20,Female,5.48,55.1,63.6,59.0,2,2,2,5.4,3,0,4,4,0
STU26070,24,Male,8.47,81.0,91.0,80.1,4,5,4,9.19,3,0,1,5,0
STU26071,20,Female,7.74,90.1,89.1,85.7,4,4,4,8.07,5,0,1,5,1
STU26072,23,Male,7.72,74.4,79.5,68.2,4,3,4,8.21,4,0,2,2,1
STU26073,19,Non-Binary,2.21,47.5,58.0,30.0,1,2,3,2.12,5,1,4,2,1
STU26074,19,Non-Binary,7.76,85.7,84.9,77.9,4,4,4,7.89,3,0,2,5,0
STU26075,23,Female,8.06,74.4,68.4,74.6,4,4,4,7.94,5,0,3,3,0
STU26076,20,Female,4.52,66.5,63.4,50.4,3,4,4,5.1,4,1,4,3,1
STU26077,22,Female,7.84,81.0,73.0,87.5,4,3,4,7.82,4,0,3,5,0
STU26078,18,Female,7.65,92.8,91.5,74.5,4,4,5,6.9,2,0,1,4,0
STU26079,25,Male,8.67,91.4,81.3,79.6,5,4,4,9.03,3,0,2,4,0
STU26080,19,Female,7.07,73.0,69.4,77.4,4,4,3,6.72,3,0,3,3,0
STU26081,24,Male,7.35,86.4,74.5,80.5,4,5,5,7.13,4,0,3,5,0
STU26082,23,Male,5.51,66.7,65.6,58.9,3,4,3,5.69,5,0,3,4,1
STU26083,19,Female,7.06,88.9,94.1,68.1,4,5,4,7.56,1,0,1,5,0
STU26084,18,Female,7.05,87.3,72.1,73.2,4,4,3,6.94,3,0,3,4,0
STU26085,20,Female,5.95,74.5,79.5,58.3,3,4,4,6.06,1,0,2,4,0
STU26086,21,Male,7.09,81.8,78.6,77.1,4,4,4,7.32,4,0,2,3,1
STU26087,25,Female,8.26,65.1,62.4,84.0,4,3,3,8.18,2,0,4,3,0
STU26088,24,Female,8.17,88.6,75.0,89.2,5,4,2,7.83,4,0,2,4,1
STU26089,25,Male,9.69,89.4,97.1,85.2,5,4,4,9.05,3,0,0,5,0
STU26090,20,Male,5.62,72.5,74.4,61.6,3,3,4,5.67,3,0,3,4,0
STU26091,23,Male,5.2,70.1,62.7,54.0,3,4,3,5.71,2,0,4,4,1
STU26092,20,Female,3.61,71.1,79.8,48.6,2,3,3,2.87,5,2,2,4,1
STU26093,20,Male,7.25,81.0,57.8,79.7,4,4,3,6.86,3,0,4,4,0
STU26094,23,Male,6.37,65.3,81.4,72.5,3,3,4,5.88,4,0,2,5,1
STU26095,20,Female,8.0,70.6,75.4,83.7,4,3,5,8.51,5,0,2,3,0
STU26096,20,Male,7.86,68.6,41.4,79.3,4,4,2,8.14,3,0,6,2,1
STU26097,23,Male,7.54,64.1,66.3,78.6,4,4,3,7.53,3,0,3,3,1
STU26098,21,Male,7.13,83.5,91.2,79.6,4,4,5,7.83,3,0,1,4,0
STU26099,20,Female,5.14,57.8,68.5,52.1,3,4,3,4.73,5,0,3,4,1
STU26100,25,Female,7.22,72.5,69.2,80.2,4,3,4,7.77,1,0,3,3,0
STU26101,24,Female,8.64,79.5,97.6,83.2,5,4,5,8.84,3,0,0,5,0
STU26102,20,Female,8.18,75.8,82.7,75.1,4,3,4,8.49,5,0,2,2,0
STU26103,19,Female,8.13,87.5,94.1,91.8,5,4,5,8.16,3,0,1,5,0
